DIAS,PRECIP,EVAP,TMAX,TMIN,HORAS LUZ
1,0.75,5.65,24.5,6.67,12
2,1.67,5.57,24.4,7.33,12
3,2.63,5.67,25.67,9.33,12
4,0.83,4.37,24.5,9.73,12
5,9.5,8.12,22.67,8.33,12
6,2.58,5.22,23.83,7.33,12
7,2.57,5.73,24.5,7.17,12
8,2.33,5.58,25.33,8.33,12
9,1.88,5.68,24,8.57,12
10,3,5.55,24.5,9.73,12
11,0,4.76,24.33,8.9,12
12,3.28,5.27,23.67,9.57,12
13,2.33,5.45,24.17,8.57,12
14,0.17,6.23,24.67,9.23,12
15,1.08,5.77,26,10.57,12
16,5.47,4.79,26.33,10.23,12
17,3,5.79,25.17,9.83,12
18,1.75,5.92,25.17,10.17,12
19,1.33,5.74,25.67,10,12
20,4.55,5.79,25.17,9.83,12
21,0.08,3.27,23.83,9.67,12
22,1.75,5.56,24,8.83,12
23,7.58,5.26,23.33,8,12
24,3.03,6.04,24,9.33,12
25,5.75,5.02,23.5,10,12
26,6.83,5.89,24,9.83,12
27,5.75,6.14,23.67,9.33,12
28,7.67,5.32,24,9.67,12.83
29,1.67,5.47,22.5,10.17,13
30,3.58,5,22.67,8.67,13
31,0.33,4.24,23.33,10.17,13
32,3,4.32,24.5,10.5,13
33,11.17,6.26,24.17,10,13
34,3.25,5.37,24,9.83,13
35,3.25,5.09,25.17,9.83,13
36,3.92,6.07,25.6,10,13
37,0.58,4.94,24.5,9.17,13
38,0,5.17,25.5,9.67,13
39,1.33,4.59,24.83,9.67,13
40,1.33,4.99,24.83,10.5,13
41,0.75,6.11,25.17,9.83,13
42,0,5.92,26.67,9.67,13
43,6.5,5.74,25.83,8.83,13
44,4.25,5.19,25.17,9.83,13
45,6.33,5.19,23.67,9.5,13
46,0.5,5.04,22.5,8.5,13
47,2.67,4.23,24.5,9.17,13
48,3.75,5.25,21.83,8.96,13
49,0.83,3.98,20.83,10.5,13
50,11.58,3.47,20.83,11,13
51,6.17,4.02,20.33,9.83,13
52,6.58,4.98,21,10.67,13
53,9.75,4.35,20.5,11,13
54,12.92,4.6,22.5,10.5,13
55,3,5.78,23,8.83,13
56,6.58,4.87,23.17,9.5,13
57,4.5,5.2,22.33,9,13
58,1.58,4.4,22.5,9.17,13
59,23.55,5.9,22.33,9.5,13
60,9.92,6.9,20.17,10.5,13
61,4.92,3.83,20.83,11.5,13
62,0.83,3.77,21.17,11.67,13
63,8.75,4.47,22.17,10.67,13
64,4.08,4.47,22,11,13
65,6.83,5.27,20.83,10,13
66,1.08,4.55,21.83,10.17,13
67,5.5,5.7,21.83,10,13
68,0.42,3.98,22.17,9.5,13
69,12.95,6.1,22.83,10.17,13
70,13.17,6.05,22.17,9.67,13
71,4.17,3.62,21.33,10.33,13
72,1.75,4.1,20.5,11,13
73,3.33,5.13,21.17,11,13
74,7.08,6.63,20,10.33,13
75,4.08,5.13,19.67,9.67,13
76,5.17,4.22,20.83,9,13
77,19.92,4.23,21.17,9.33,13
78,9.42,4.65,20.83,9.17,13
79,12.78,6.32,20.5,9.17,13
80,3.2,5.85,21.5,9,13
81,2.33,4.27,22.67,9,13
82,3,4.75,22.83,7.67,13
83,6.75,4.52,22.17,8.17,13
84,3.78,4.85,22.17,8.83,13
85,4.5,3.38,21.83,9.83,13
86,2.58,4.25,22.5,9.67,13
87,2.75,6.1,22.33,8.67,13
88,18.5,7.98,21.67,9.67,13
89,7.6,3.17,21.67,9.17,13
90,2.33,5.05,21.83,8.67,13
91,0.33,4.48,21.83,9.33,13
92,1.67,3.75,23,8,13
93,7.33,4.2,23.17,8,13
94,1.08,4.8,21.17,9,13
95,2.25,5.13,22.83,8.5,13
96,3.22,4.65,22.83,8.83,13
97,1.67,4.9,22,8.83,13
98,11.5,5.55,23,9.17,13
99,4,5.78,22.67,8.67,13
100,1.5,5.12,23.17,8.5,13
101,3.67,3.7,22.67,8.5,13
102,17.58,4.13,22.17,8.5,13
103,1,4.45,21.67,8.17,13
104,2.88,4.3,22.33,8.5,13
105,3.17,5.35,22.83,7.67,13
106,7,6.83,22.33,6.83,13
107,0.67,6.65,23.33,8.5,13
108,0.17,4.23,23.5,8.33,12.33
109,2.53,4.91,23.67,7.9,12
110,4.75,4.58,22.83,8.5,12
111,6.92,4.97,22.5,8.83,12
112,7.17,4.1,23.67,8.5,12
113,9.08,5.92,22.67,9.83,12
114,8.75,4.45,21.5,10,12
115,2.67,5.28,22.17,10,12
116,2.95,5.18,23,9.5,12
117,9.33,4.92,21.17,9,12
118,8.25,4.68,21.17,10,12
119,4.83,4.02,22.33,8.83,12
120,5.58,3.82,21.83,7.67,12
121,1.67,4.3,23.5,8,12
122,3.92,4.43,23.5,8.17,12
123,3.7,4.82,23.17,8.33,12
124,0,3.93,21.17,8.17,12
125,5.5,4.73,21.83,9,12
126,9.17,5.3,23.33,8.5,12
127,2.63,4.6,23.17,9,12
128,7.6,5.83,21.33,9.33,12
129,2.25,3.37,21,8.67,12
130,1,3.95,21.33,9.17,12
131,3.27,3.98,21.83,9.67,12
132,0.5,4.42,21.17,9.17,12
133,0.58,3.48,22.17,9.33,12
134,2.42,6.25,23.17,9.5,12
135,3.78,3.05,23,9.5,12
136,10.5,4.02,22.5,9.67,12
137,3.83,4.97,22.67,9.33,12
138,9.25,3.94,21.83,9.33,12
139,4.25,4.42,22.83,8.67,12
140,9.58,5.02,23.17,7.83,12
141,6.37,4.38,22.67,9.33,12
142,8.67,4.16,22.24,9.83,12
143,21.17,7.57,21.33,9.83,12
144,4.13,4.47,22.67,9.67,12
145,6,3.82,20.83,9.23,12
146,5.75,5.77,20.83,9.33,12
147,4.17,4.28,21.67,8.33,12
148,1.25,3.9,22.83,8.33,12
149,1.33,3.6,22.33,9.67,12
150,0.13,2.78,21.5,9,12
151,5,3.77,21.57,9.17,12
152,6.5,3.44,19.67,9.07,12
153,1,3.13,20.33,8.83,12
154,11.92,3.6,22.17,9,12
155,1,3.46,20.9,10.17,12
156,8.5,3.81,23.33,9.73,12
157,2.33,3.89,21.97,9.33,12
158,3,3.98,23.5,8.5,12
159,2.92,4.01,23,8.13,12
160,2.08,4.12,23.33,8.67,12
161,2.33,4.2,23,9.17,12
162,9.03,4.25,22,7.83,12
163,9.47,3.99,23.07,8,12
164,8.5,3.62,22.33,9.33,12
165,6,3.83,22.5,9.67,12
166,15.25,4.65,21.17,8.5,12
167,11.58,2.91,20.5,9.23,12
168,6.17,2.1,18.5,9.83,11.33
169,5.08,4.23,21.31,8.17,11.17
170,9.5,4.82,22,8.33,11
171,2.08,3.8,20.5,7.5,11
172,2.25,4.1,20.67,7.5,11
173,1.58,3.3,21.33,8.67,11
174,2.67,3.5,21.67,8.33,11
175,0.42,5.48,22.67,7.67,11
176,3.33,3.83,21.5,6.33,11
177,0.25,3,21,7.5,11
178,4.92,4.02,21.83,8.83,11
179,11.42,4.38,21.67,8.33,11
180,1.42,3.68,23,8.67,11
181,1,4.02,21.67,9.83,11
182,0,3.08,22.17,8.5,11
183,0.25,4.03,23.83,6.5,11
184,0.33,2.77,24,7,11
185,1.42,3.65,21.83,7.67,11
186,1.75,2.8,19.17,8.33,11
187,0.33,2.63,22,8.33,11
188,0.17,2.72,21.83,8,11
189,0.17,3.17,22.33,7.67,11
190,0,3.1,21.5,7.5,11
191,0,3.4,21.17,7.5,11
192,2.83,4.03,21.5,7.67,11
193,1.58,3.92,21.33,7.83,11
194,2.08,3.88,21.67,6.17,11
195,0.42,3.47,22.5,6.5,11
196,0.83,3.57,22.17,7.17,11
197,1.42,3.08,20.83,7.33,11
198,0,2.47,21.5,7.33,11
199,4.92,2.62,21.67,7.33,11
200,0.17,4.23,20.9,7.17,11
201,3.2,3.36,22.33,6.67,11
202,5.58,3.87,20.33,7.33,11
203,0.08,2.7,20.83,6.83,11
204,0,3.15,21.5,5.33,11
205,1.5,3.7,22.17,6.17,11
206,0,3.28,22.83,5.33,11
207,0,4.07,24,6.5,11
208,0,3.63,23.33,6.33,11
209,0.08,3.02,22,6.17,11
210,7.33,3.82,22.33,6,11
211,1.33,3.27,22.67,6.83,11
212,0.02,3.6,22,5.83,11
213,4.92,3.65,21,5.17,11
214,1.83,2.62,21.5,5.5,11
215,0,3.59,22,6.17,11
