DIAS,PRECIP,EVAP,TMAX,TMIN,HORAS LUZ,HI,BIOMASA
1,0.75,5.65,24.5,6.67,12,0,0
2,1.67,5.57,24.4,7.33,12,0,0
3,2.63,5.67,25.67,9.33,12,0,0
4,0.83,4.37,24.5,9.73,12,0,0
5,9.5,8.12,22.67,8.33,12,0,0
6,2.58,5.22,23.83,7.33,12,0,0
7,2.57,5.73,24.5,7.17,12,0,0
8,2.33,5.58,25.33,8.33,12,0.3,0
9,1.88,5.68,24,8.57,12,0.5,0.005
10,3,5.55,24.5,9.73,12,1,0.009
11,0,4.76,24.33,8.9,12,1.3,0.013
12,3.28,5.27,23.67,9.57,12,1.5,0.02
13,2.33,5.45,24.17,8.57,12,1.6,0.028
14,0.17,6.23,24.67,9.23,12,1.9,0.038
15,1.08,5.77,26,10.57,12,2.1,0.049
16,5.47,4.79,26.33,10.23,12,2.4,0.061
17,3,5.79,25.17,9.83,12,2.7,0.076
18,1.75,5.92,25.17,10.17,12,3,0.094
19,1.33,5.74,25.67,10,12,3.4,0.117
20,4.55,5.79,25.17,9.83,12,3.8,0.143
21,0.08,3.27,23.83,9.67,12,4.3,0.174
22,1.75,5.56,24,8.83,12,4.8,0.206
23,7.58,5.26,23.33,8,12,5.4,0.244
24,3.03,6.04,24,9.33,12,6,0.288
25,5.75,5.02,23.5,10,12,6.7,0.342
26,6.83,5.89,24,9.83,12,7.5,0.4
27,5.75,6.14,23.67,9.33,12,8.3,0.432
28,7.67,5.32,24,9.67,12.83,9.2,0.475
29,1.67,5.47,22.5,10.17,13,10.1,0.524
30,3.58,5,22.67,8.67,13,11.1,0.579
31,0.33,4.24,23.33,10.17,13,12,0.621
32,3,4.32,24.5,10.5,13,12.9,0.722
33,11.17,6.26,24.17,10,13,13.8,0.809
34,3.25,5.37,24,9.83,13,14.8,0.925
35,3.25,5.09,25.17,9.83,13,15.7,1.056
36,3.92,6.07,25.6,10,13,16.6,1.206
37,0.58,4.94,24.5,9.17,13,17.5,1.374
38,0,5.17,25.5,9.67,13,18.5,1.54
39,1.33,4.59,24.83,9.67,13,19.4,1.709
40,1.33,4.99,24.83,10.5,13,20.3,1.885
41,0.75,6.11,25.17,9.83,13,21.2,2.057
42,0,5.92,26.67,9.67,13,22.2,2.229
43,6.5,5.74,25.83,8.83,13,23.1,2.398
44,4.25,5.19,25.17,9.83,13,24,2.562
45,6.33,5.19,23.67,9.5,13,24.9,2.726
46,0.5,5.04,22.5,8.5,13,25.9,2.907
47,2.67,4.23,24.5,9.17,13,26.8,3.092
48,3.75,5.25,21.83,8.96,13,27.7,3.274
49,0.83,3.98,20.83,10.5,13,28.6,3.44
50,11.58,3.47,20.83,11,13,29.6,3.605
51,6.17,4.02,20.33,9.83,13,30.5,3.729
52,6.58,4.98,21,10.67,13,31.4,3.838
53,9.75,4.35,20.5,11,13,32.3,3.976
54,12.92,4.6,22.5,10.5,13,33.3,4.134
55,3,5.78,23,8.83,13,34.2,4.301
56,6.58,4.87,23.17,9.5,13,35.1,4.468
57,4.5,5.2,22.33,9,13,36,4.641
58,1.58,4.4,22.5,9.17,13,37,4.825
59,23.55,5.9,22.33,9.5,13,37.9,5.003
60,9.92,6.9,20.17,10.5,13,38.8,5.18
61,4.92,3.83,20.83,11.5,13,39.7,5.356
62,0.83,3.77,21.17,11.67,13,40.6,5.536
63,8.75,4.47,22.17,10.67,13,41.6,5.718
64,4.08,4.47,22,11,13,42.5,5.907
65,6.83,5.27,20.83,10,13,43.4,6.085
66,1.08,4.55,21.83,10.17,13,44.3,6.255
67,5.5,5.7,21.83,10,13,45.3,6.401
68,0.42,3.98,22.17,9.5,13,46.2,6.578
69,12.95,6.1,22.83,10.17,13,47.1,6.74
70,13.17,6.05,22.17,9.67,13,48,6.874
71,4.17,3.62,21.33,10.33,13,48,6.994
72,1.75,4.1,20.5,11,13,48,7.099
73,3.33,5.13,21.17,11,13,48,7.19
74,7.08,6.63,20,10.33,13,48,7.265
75,4.08,5.13,19.67,9.67,13,48,7.34
76,5.17,4.22,20.83,9,13,48,7.471
77,19.92,4.23,21.17,9.33,13,48,7.56
78,9.42,4.65,20.83,9.17,13,48,7.702
79,12.78,6.32,20.5,9.17,13,48,7.852
80,3.2,5.85,21.5,9,13,48,8.002
81,2.33,4.27,22.67,9,13,48,8.105
82,3,4.75,22.83,7.67,13,48,8.207
83,6.75,4.52,22.17,8.17,13,48,8.347
84,3.78,4.85,22.17,8.83,13,48,8.495
85,4.5,3.38,21.83,9.83,13,48,8.65
86,2.58,4.25,22.5,9.67,13,48,8.818
87,2.75,6.1,22.33,8.67,13,48,8.945
88,18.5,7.98,21.67,9.67,13,48,9.045
89,7.6,3.17,21.67,9.17,13,48,9.132
90,2.33,5.05,21.83,8.67,13,48,9.218
91,0.33,4.48,21.83,9.33,13,48,9.331
92,1.67,3.75,23,8,13,48,9.416
93,7.33,4.2,23.17,8,13,48,9.516
94,1.08,4.8,21.17,9,13,48,9.651
95,2.25,5.13,22.83,8.5,13,48,9.801
96,3.22,4.65,22.83,8.83,13,48,9.912
97,1.67,4.9,22,8.83,13,48,10.024
98,11.5,5.55,23,9.17,13,48,10.147
99,4,5.78,22.67,8.67,13,48,10.244
100,1.5,5.12,23.17,8.5,13,48,10.366
101,3.67,3.7,22.67,8.5,13,48,10.507
102,17.58,4.13,22.17,8.5,13,48,10.639
103,1,4.45,21.67,8.17,13,48,10.76
104,2.88,4.3,22.33,8.5,13,48,10.869
105,3.17,5.35,22.83,7.67,13,48,10.977
106,7,6.83,22.33,6.83,13,48,11.114
107,0.67,6.65,23.33,8.5,13,48,11.25
108,0.17,4.23,23.5,8.33,12.33,48,11.384
109,2.53,4.91,23.67,7.9,12,48,11.498
110,4.75,4.58,22.83,8.5,12,48,11.587
111,6.92,4.97,22.5,8.83,12,48,11.707
112,7.17,4.1,23.67,8.5,12,48,11.792
113,9.08,5.92,22.67,9.83,12,48,11.876
114,8.75,4.45,21.5,10,12,48,11.946
115,2.67,5.28,22.17,10,12,48,12.014
116,2.95,5.18,23,9.5,12,48,12.101
117,9.33,4.92,21.17,9,12,48,12.184
118,8.25,4.68,21.17,10,12,48,12.272
119,4.83,4.02,22.33,8.83,12,48,12.355
120,5.58,3.82,21.83,7.67,12,48,12.433
121,1.67,4.3,23.5,8,12,48,12.521
122,3.92,4.43,23.5,8.17,12,48,12.592
123,3.7,4.82,23.17,8.33,12,48,12.65
124,0,3.93,21.17,8.17,12,48,12.701
125,5.5,4.73,21.83,9,12,48,12.739
126,9.17,5.3,23.33,8.5,12,48,12.775
127,2.63,4.6,23.17,9,12,48,12.8
128,7.6,5.83,21.33,9.33,12,48,12.813
129,2.25,3.37,21,8.67,12,48,12.819
130,1,3.95,21.33,9.17,12,48,12.82
131,3.27,3.98,21.83,9.67,12,48,12.82
132,0.5,4.42,21.17,9.17,12,48,12.82
133,0.58,3.48,22.17,9.33,12,48,12.82
134,2.42,6.25,23.17,9.5,12,48,12.82
135,3.78,3.05,23,9.5,12,48,12.82
136,10.5,4.02,22.5,9.67,12,48,12.82
137,3.83,4.97,22.67,9.33,12,48,12.82
138,9.25,3.94,21.83,9.33,12,48,12.82
139,4.25,4.42,22.83,8.67,12,48,12.82
140,9.58,5.02,23.17,7.83,12,48,12.82
141,6.37,4.38,22.67,9.33,12,48,12.82
142,8.67,4.16,22.24,9.83,12,48,12.82
143,21.17,7.57,21.33,9.83,12,48,12.82
144,4.13,4.47,22.67,9.67,12,48,12.82
145,6,3.82,20.83,9.23,12,48,12.82
146,5.75,5.77,20.83,9.33,12,48,12.82
147,4.17,4.28,21.67,8.33,12,48,12.82
148,1.25,3.9,22.83,8.33,12,48,12.82
149,1.33,3.6,22.33,9.67,12,48,12.82
150,0.13,2.78,21.5,9,12,48,12.82
151,5,3.77,21.57,9.17,12,48,12.82
152,6.5,3.44,19.67,9.07,12,48,12.82
153,1,3.13,20.33,8.83,12,48,12.82
154,11.92,3.6,22.17,9,12,48,12.82
155,1,3.46,20.9,10.17,12,48,12.82
156,8.5,3.81,23.33,9.73,12,48,12.82
157,2.33,3.89,21.97,9.33,12,48,12.82
158,3,3.98,23.5,8.5,12,48,12.82
159,2.92,4.01,23,8.13,12,48,12.82
160,2.08,4.12,23.33,8.67,12,48,12.82
161,2.33,4.2,23,9.17,12,48,12.82
162,9.03,4.25,22,7.83,12,48,12.82
163,9.47,3.99,23.07,8,12,48,12.82
164,8.5,3.62,22.33,9.33,12,48,12.82
165,6,3.83,22.5,9.67,12,48,12.82
166,15.25,4.65,21.17,8.5,12,48,12.82
167,11.58,2.91,20.5,9.23,12,48,12.82
168,6.17,2.1,18.5,9.83,11.33,48,12.82
169,5.08,4.23,21.31,8.17,11.17,48,12.82
170,9.5,4.82,22,8.33,11,48,12.82
171,2.08,3.8,20.5,7.5,11,48,12.82
172,2.25,4.1,20.67,7.5,11,48,12.82
173,1.58,3.3,21.33,8.67,11,48,12.82
174,2.67,3.5,21.67,8.33,11,48,12.82
175,0.42,5.48,22.67,7.67,11,48,12.82
176,3.33,3.83,21.5,6.33,11,48,12.82
177,0.25,3,21,7.5,11,48,12.82
178,4.92,4.02,21.83,8.83,11,48,12.82
179,11.42,4.38,21.67,8.33,11,48,12.82
180,1.42,3.68,23,8.67,11,48,12.82
181,1,4.02,21.67,9.83,11,48,12.82
182,0,3.08,22.17,8.5,11,48,12.82
183,0.25,4.03,23.83,6.5,11,48,12.82
184,0.33,2.77,24,7,11,48,12.82
185,1.42,3.65,21.83,7.67,11,48,12.82
186,1.75,2.8,19.17,8.33,11,48,12.82
187,0.33,2.63,22,8.33,11,48,12.82
188,0.17,2.72,21.83,8,11,48,12.82
189,0.17,3.17,22.33,7.67,11,48,12.82
190,0,3.1,21.5,7.5,11,48,12.82
191,0,3.4,21.17,7.5,11,48,12.82
192,2.83,4.03,21.5,7.67,11,48,12.82
193,1.58,3.92,21.33,7.83,11,48,12.82
194,2.08,3.88,21.67,6.17,11,48,12.82
195,0.42,3.47,22.5,6.5,11,48,12.82
196,0.83,3.57,22.17,7.17,11,48,12.82
197,1.42,3.08,20.83,7.33,11,48,12.82
198,0,2.47,21.5,7.33,11,48,12.82
199,4.92,2.62,21.67,7.33,11,48,12.82
200,0.17,4.23,20.9,7.17,11,48,12.82
201,3.2,3.36,22.33,6.67,11,48,12.82
202,5.58,3.87,20.33,7.33,11,48,12.82
203,0.08,2.7,20.83,6.83,11,48,12.82
204,0,3.15,21.5,5.33,11,48,12.82
205,1.5,3.7,22.17,6.17,11,48,12.82
206,0,3.28,22.83,5.33,11,48,12.82
207,0,4.07,24,6.5,11,48,12.82
208,0,3.63,23.33,6.33,11,48,12.82
209,0.08,3.02,22,6.17,11,48,12.82
210,7.33,3.82,22.33,6,11,48,12.82
211,1.33,3.27,22.67,6.83,11,48,12.82
212,0.02,3.6,22,5.83,11,48,12.82
213,4.92,3.65,21,5.17,11,48,12.82
214,1.83,2.62,21.5,5.5,11,48,12.82
215,0,3.59,22,6.17,11,48,12.82
